word,sense_id,sentence_id,sentence
bank,1,5,The bank of the stream had eroded badly after the floods.
bank,1,6,We found animal tracks in the mud along the bank.
bank,1,7,The bank was too steep to climb down to the shore.
bank,1,8,Tall reeds grew along the bank near the fishing spot.
bank,1,9,She slipped on the muddy bank and nearly fell into the stream.
bank,1,10,The river had carved a deep bank through the clay soil.
bank,1,11,We walked along the bank looking for a good fishing spot.
bank,1,12,"Trees overhung the bank, their roots trailing into the stream."
bank,1,13,He cast his fishing line from the sandy bank.
bank,1,14,The bank along the shore was littered with driftwood.
bank,1,15,"After the rain, the bank was soft with fresh mud."
bank,1,16,Deer came down to the bank to drink from the river.
bank,1,17,The bank near the fishing dock was reinforced with stones.
bank,1,18,Erosion was eating away at the bank of the stream.
bank,1,19,We pitched our tent on the flat bank above the river.
bank,1,20,The bank was slippery with mud after last night's downpour.
bank,1,21,"A heron stood motionless on the bank, watching the stream."
bank,1,22,The fishermen gathered on the bank at dawn for their outing.
bank,1,23,You could see the river from the top of the bank.
bank,1,24,The bank dropped sharply to the shore below.
bark,0,0,The bark of the old oak was rough and covered in moss.
bark,0,1,Sap oozed from a crack in the bark of the pine tree.
bark,0,2,She peeled a strip of bark from the fallen wood in the forest.
bark,0,3,The bark on the tree near the roots was darkened with age.
bark,0,4,"We rested in the shade of a tree with thick, gnarled bark."
bark,0,5,The forest floor was littered with strips of fallen bark and wood.
bark,0,6,"Insects had burrowed under the bark, reaching the sap beneath."
bark,0,7,The bark of the birch tree peeled away in thin white sheets.
bark,0,8,"Deep in the forest, the bark of ancient trees was covered in lichen."
bark,0,9,He carved his initials into the bark of a tree near the forest path.
bark,0,10,The bark protected the wood underneath from harsh weather.
bark,0,11,Sticky sap seeped through a gash in the bark.
bark,0,12,The tree's bark was scarred where roots had been exposed.
bark,0,13,She gathered pieces of bark and wood for the campfire in the forest.
bark,0,14,The bark felt warm in the shade of the afternoon sun.
bark,0,15,Forest rangers noted damage to the bark caused by woodpeckers.
bark,0,16,The bark near the roots was damp with sap and covered in fungi.
bark,0,17,Smooth bark on young trees gives way to rough wood as they age.
bark,0,18,"In the shade of the forest, the bark glistened with morning dew."
bark,0,19,The bark was so thick it protected the sap even during wildfires.
bark,0,20,He studied the bark patterns to identify tree species in the forest.
bark,0,21,The bark crumbled into the soil near the exposed roots.
bark,0,22,"A squirrel clung to the bark, climbing toward the shade of the upper branches."
bark,0,23,"Beneath the bark, channels of sap ran through the living wood."
bark,0,24,The bark of this forest tree is prized for its medicinal sap.
bark,1,0,The dog's bark echoed through the quiet neighborhood at night.
bark,1,1,A loud bark from the dog startled the neighbor next door.
bark,1,2,The bark was so piercing it cut through every other noise.
bark,1,3,"At night, the dog's bark could be heard from blocks away."
bark,1,4,The neighbor complained about the constant bark and howl of our dog.
bark,1,5,Every noise seemed to trigger another bark from the anxious dog.
bark,1,6,The dog let out a sharp bark when the neighbor walked past the fence.
bark,1,7,A distant howl followed by a bark broke the silence of the night.
bark,1,8,The dog's bark grew louder as the noise outside increased.
bark,1,9,Our neighbor's dog has a bark that sounds like a howl.
bark,1,10,The bark startled the children playing in the yard at night.
bark,1,11,A single bark from the dog alerted the neighbor to the noise outside.
bark,1,12,The dog's deep bark echoed down the street every night.
bark,1,13,The constant bark and howl kept the entire neighborhood awake at night.
bark,1,14,A sharp bark from the dog warned us about the noise at the door.
bark,1,15,The neighbor asked us to quiet the dog's bark during the night.
bark,1,16,Her dog's bark is so loud it drowns out every other noise.
bark,1,17,The howl turned into a bark as the dog spotted the neighbor's cat.
bark,1,18,That bark echoed through the night and woke everyone nearby.
bark,1,19,"The dog's bark was accompanied by a long, mournful howl."
bark,1,20,"Every night, the same bark rings out when the dog hears a noise."
bark,1,21,The bark from the dog was loud enough to bother every neighbor on the block.
bark,1,22,The dog's bark echoed like a howl through the quiet night air.
bark,1,23,Our neighbor trained the dog to stop its bark at night.
bark,1,24,The sudden bark of the dog startled everyone in the room.
bass,0,0,He caught a large bass in the lake using live bait.
bass,0,1,The bass swam toward the bait in the shallow part of the river.
bass,0,2,She pulled a bass from the net after a long day on the lake.
bass,0,3,"The lake was stocked with bass, and the bait shops were busy."
bass,0,4,A bass broke the surface of the river chasing the bait.
bass,0,5,He cast his line with fresh bait hoping to catch a bass in the lake.
bass,0,6,The net was heavy with bass caught from the river that morning.
bass,0,7,"The bass in the lake were large enough to keep, so he brought extra bait."
bass,0,8,She used a new type of bait to attract bass near the river bank.
bass,0,9,The bass were biting all morning in the lake near the old net dock.
bass,0,10,He released the bass back into the river after removing it from the net.
bass,0,11,The lake's bass population grew after they stocked it with fish last year.
bass,0,12,She changed her bait twice before finally hooking a bass in the river.
bass,0,13,A record-breaking bass was caught in the lake with simple bait.
bass,0,14,The net was just big enough to hold the bass he pulled from the river.
bass,0,15,He spent all day at the lake trying different bait for bass.
bass,0,16,The river's current made it hard to keep the bait where the bass were feeding.
bass,0,17,She caught three bass from the lake and released them from the net.
bass,0,18,The bass swirled near the bait but didn't bite in the murky river.
bass,0,19,He threw the net into the lake and caught a school of bass.
bass,0,20,The bait drifted downstream in the river until a bass finally struck.
bass,0,21,She preferred fishing for bass at the lake rather than the river.
bass,0,22,The net tangled around the bass as it fought in the lake shallows.
bass,0,23,He loaded the bait on his hook and cast toward the bass in the river.
bass,0,24,"The lake bass were plentiful, and the bait lasted all afternoon."
bass,1,0,The bass note added depth and harmony to the entire chord progression.
bass,1,1,She played a low bass line that set the tone for the piece.
bass,1,2,The bass provided the harmonic foundation beneath the melody's high notes.
bass,1,3,He tuned the bass until each note had the right tone and harmony.
bass,1,4,The chord sounded richer once the bass note was added.
bass,1,5,"A deep bass tone resonated through the room, grounding the harmony."
bass,1,6,She held the low bass note while the chord resolved above it.
bass,1,7,The bass gave the harmony a warm tone that filled the concert hall.
bass,1,8,He strummed a bass chord and let the low note ring out.
bass,1,9,The tone of the bass complemented the harmony of the higher notes.
bass,1,10,A bass note at the bottom of the chord anchored the entire harmony.
bass,1,11,The low bass tone vibrated through the floor as the chord played.
bass,1,12,She recognized the bass line by its distinctive note pattern and tone.
bass,1,13,The harmony shifted when the bass moved to a different chord tone.
bass,1,14,He played a series of low bass notes that created a rich harmonic foundation.
bass,1,15,"The bass note was the lowest sound in the chord, setting the tone."
bass,1,16,She adjusted the bass tone to blend with the harmony of the ensemble.
bass,1,17,A low bass chord resonated with perfect harmony across the speakers.
bass,1,18,The note from the bass guitar gave the harmony a darker tone.
bass,1,19,He added a bass note to the chord to deepen the harmony.
bass,1,20,The bass tone was warm and full beneath the bright high notes.
bass,1,21,"She played the bass line, each note contributing to the overall harmony."
bass,1,22,The chord progression relied on the bass for its low harmonic tone.
bass,1,23,He held a sustained bass note while the chord and harmony evolved.
bass,1,24,The low tone of the bass provided the harmonic base for every note above it.
bat,0,0,A bat flew out of the cave and disappeared into the night.
bat,0,1,The bat spread its wings and glided over the forest canopy.
bat,0,2,We spotted a bat hunting insects near the porch light.
bat,0,3,The nocturnal bat emerged from the cave at dusk.
bat,0,4,The bat used echolocation to catch insects in the dark.
bat,0,5,Researchers tagged the bat inside the cave to track migration.
bat,0,6,"The bat circled the forest clearing, its wings silhouetted against the moon."
bat,0,7,A tiny bat clung to the cave wall with its wings folded.
bat,0,8,That species of bat feeds exclusively on insects at night.
bat,0,9,We watched the bat swoop through the forest after insects.
bat,0,10,The bat is a nocturnal creature rarely seen during daylight.
bat,0,11,The bat folded its wings and settled on a branch in the forest.
bat,0,12,"A nocturnal bat darted above us, chasing insects near the lamp."
bat,0,13,The cave serves as a roost for several bat species.
bat,0,14,The bat stretched its wings before taking flight over the forest.
bat,0,15,"A bat swooped past us in the forest, hunting for insects."
bat,0,16,This species of bat has an impressive wingspan among forest dwellers.
bat,0,17,"The bat clung to the cave wall, resting before its nightly insect hunt."
bat,0,18,Rangers found a rare bat species nesting deep inside the cave.
bat,0,19,The bat is well adapted to catching insects while flying through the forest.
bat,0,20,"During the cave tour, a bat flew overhead on silent wings."
bat,0,21,The nocturnal bat hunts insects in the dark.
bat,0,22,We saw a small bat hanging upside down.
bat,0,23,A bat fluttered its wings in the attic.
bat,0,24,The bat uses echolocation to navigate.
bat,1,0,He grabbed the bat and stepped up to the plate for his swing.
bat,1,1,The bat cracked loudly as it connected with the pitch.
bat,1,2,She picked up the bat during practice and hit a line drive.
bat,1,3,He wore his helmet and carried the bat to the dugout.
bat,1,4,The bat slipped from his hands during the third inning.
bat,1,5,"At practice, the coach adjusted her grip on the bat."
bat,1,6,The batter swung the bat hard but missed the pitch.
bat,1,7,He broke his favorite bat during the sixth inning.
bat,1,8,The pitcher watched nervously as the slugger lifted his bat.
bat,1,9,She swung the bat with perfect form during practice.
bat,1,10,The aluminum bat made a ping sound with every swing.
bat,1,11,He chose a heavier bat to improve his swing power.
bat,1,12,"During the seventh inning, he stepped up with a new bat."
bat,1,13,"The pitcher threw a curveball, and the bat barely grazed it."
bat,1,14,"Before every game, she takes practice swings with her lucky bat."
bat,1,15,The wooden bat splintered after a powerful swing in the fifth inning.
bat,1,16,He rested the bat on his shoulder while watching the pitcher warm up.
bat,1,17,A good bat and consistent practice make all the difference at the plate.
bat,1,18,She forgot her helmet but grabbed the bat for practice anyway.
bat,1,19,The bat felt lighter after he adjusted his swing technique.
bat,1,20,"In the last inning, the cleanup hitter picked up his bat confidently."
bat,1,21,His bat speed improved dramatically after weeks of extra practice.
bat,1,22,The pitcher paused as the batter tapped the bat on the plate.
bat,1,23,The baseball player swung the bat with immense power.
bat,1,24,He broke his favorite wooden bat during the game.
bill,0,0,The bill arrived with the invoice showing the total amount due.
bill,0,1,She made a payment on the bill and kept the receipt.
bill,0,2,The bill listed every charge with the amount due at the bottom.
bill,0,3,He reviewed the invoice before paying the bill in full.
bill,0,4,The receipt confirmed that the bill payment had been processed.
bill,0,5,The amount on the bill was higher than the original invoice estimated.
bill,0,6,She disputed the bill because the invoice and receipt amounts didn't match.
bill,0,7,The bill was due at the end of the month with payment by invoice.
bill,0,8,He checked the receipt to verify the bill amount was correct.
bill,0,9,The payment on the bill covered the full amount shown on the invoice.
bill,0,10,She received a bill with an invoice for the overdue amount.
bill,0,11,"The receipt showed the bill had been paid, but the amount seemed wrong."
bill,0,12,He called about the bill because the invoice listed a duplicate payment.
bill,0,13,The amount due on the bill increased after the late payment fee.
bill,0,14,She filed the receipt after paying the bill for the full invoice amount.
bill,0,15,The bill arrived earlier than expected with the amount due clearly stated.
bill,0,16,He matched the invoice to the bill and confirmed the payment amount.
bill,0,17,The receipt was proof that the bill had been paid by the due date.
bill,0,18,She noticed an error on the bill and requested a corrected invoice.
bill,0,19,The payment amount on the bill was split between two receipts.
bill,0,20,The bill from the utility company included an itemized invoice.
bill,0,21,He paid the bill immediately after checking the amount on the receipt.
bill,0,22,The invoice attached to the bill showed the payment was past due.
bill,0,23,She kept every receipt for every bill payment throughout the year.
bill,0,24,"The amount on the bill matched the invoice exactly, so he submitted payment."
bill,1,0,The duck's bright orange bill dipped into the water to catch a seed.
bill,1,1,A bird with a long curved bill perched on the branch near the nest.
bill,1,2,The bill of the pelican can hold more than its stomach.
bill,1,3,A bird cracked open a seed with its powerful bill while sitting on a branch.
bill,1,4,The bill of the heron was perfectly shaped for catching fish near the nest.
bill,1,5,The bird tucked its bill under its wing and settled into the nest.
bill,1,6,She noticed the bird's colorful bill as it picked seeds off the branch.
bill,1,7,The parrot used its bill to grip the branch while flapping its wing.
bill,1,8,"A baby bird in the nest opened its bill wide, waiting for seed."
bill,1,9,The toucan's oversized bill was visible from across the forest branch.
bill,1,10,The bird sharpened its bill against the rough bark of the branch.
bill,1,11,Seeds were scattered below the nest where the bird had dropped them from its bill.
bill,1,12,The bill of the finch was perfectly adapted for cracking tough seeds.
bill,1,13,"A bird balanced on a thin branch, its bill full of nesting material."
bill,1,14,The bill glowed orange as the bird spread its wing and left the nest.
bill,1,15,She watched the bird use its bill to weave twigs into the nest.
bill,1,16,The bird's bill was covered in seed husks after feeding on the branch.
bill,1,17,A hummingbird's slender bill probed the flower near the nest.
bill,1,18,The bird carried a seed in its bill to the nest on the highest branch.
bill,1,19,"Its long, pointed bill helped the bird forage among the branches."
bill,1,20,The wing of the bird brushed the branch as it dipped its bill for a seed.
bill,1,21,A woodpecker drummed its bill against the branch near its nest.
bill,1,22,The bird's bill was strong enough to crack the hardest seed on the branch.
bill,1,23,She photographed a bird with a yellow bill resting in its nest.
bill,1,24,"The bird extended its wing and flew from the branch, a seed in its bill."
bolt,0,0,He tightened the bolt on the metal frame using a wrench from the toolbox.
bolt,0,1,The bolt held the frame together during the repair.
bolt,0,2,She found the right bolt in the toolbox for the metal frame repair.
bolt,0,3,A rusted bolt on the frame needed replacement during the repair.
bolt,0,4,He loosened the bolt and removed the metal piece from the frame.
bolt,0,5,The bolt was too short to secure the metal to the frame properly.
bolt,0,6,She replaced the bolt during the repair and tightened it into the frame.
bolt,0,7,The metal bolt was the only fastener holding the frame together.
bolt,0,8,He grabbed a bolt from the toolbox and began the frame repair.
bolt,0,9,A missing bolt in the frame was discovered during the repair inspection.
bolt,0,10,She drilled a hole for the bolt to fasten the metal frame.
bolt,0,11,"The bolt came loose on the frame, requiring an immediate repair."
bolt,0,12,The frame was reinforced with an extra bolt as part of the repair.
bolt,0,13,She fastened the bolt through the metal bracket on the frame.
bolt,0,14,A cross-threaded bolt made the frame repair more difficult.
bolt,0,15,He snapped the bolt trying to force it through the metal frame.
bolt,0,16,The repair was simple: just replacing one bolt on the frame.
bolt,0,17,She matched the bolt to the threading on the metal frame before the repair.
bolt,0,18,The frame rattled because a bolt in the toolbox was never installed.
bolt,0,19,He used a socket wrench to drive the bolt into the metal frame.
bolt,0,20,The bolt was the critical fastener that kept the frame rigid during repair.
bolt,0,21,She inspected every bolt on the frame as part of the routine repair.
bolt,0,22,A rusted bolt held the machine part together.
bolt,0,23,She fastened the final bolt on the steel frame.
bolt,0,24,The heavy bolt was impossible to turn by hand.
bolt,1,0,The horse made a bolt across the field in a sudden sprint.
bolt,1,1,"He made a bolt for the exit, sprinting down the hall to escape."
bolt,1,2,The deer made a sudden bolt into the field to escape the noise.
bolt,1,3,She saw the rabbit bolt across the field in a sudden run.
bolt,1,4,"The thief made a bolt for it, sprinting to escape through the field."
bolt,1,5,"With a sudden move, the cat made a bolt across the yard."
bolt,1,6,"He decided to bolt from the room, making a sprint for the door."
bolt,1,7,The dog made a sudden bolt and ran across the open field.
bolt,1,8,"She had to bolt to escape the storm, sprinting across the field."
bolt,1,9,"The child made a bolt for the playground, running at full sprint."
bolt,1,10,He saw the chance to escape and made a bolt for the field.
bolt,1,11,The horse's sudden bolt startled everyone as it sprinted across the field.
bolt,1,12,She had to bolt out of the way to escape the runaway cart.
bolt,1,13,A sudden bolt sent the squirrel sprinting across the field.
bolt,1,14,"He made a bolt for the field, his sprint fueled by adrenaline."
bolt,1,15,"The prisoner made a sudden bolt, trying to escape during the yard run."
bolt,1,16,She watched the fox bolt across the field in a lightning sprint.
bolt,1,17,The startled bird made a sudden bolt and flew from the field.
bolt,1,18,He had to bolt and run to escape the approaching danger.
bolt,1,19,The sprinter made a bolt for the finish line across the field.
bolt,1,20,"A sudden noise caused the cat to bolt, sprinting to escape."
bolt,1,21,"The dog made a bolt from the yard, running at a full sprint across the field."
bolt,1,22,"She made a bolt for the car, trying to escape the sudden rain."
bolt,1,23,The sudden bolt across the field left everyone stunned at the sprint.
bolt,1,24,"He saw the opening and made a bolt, sprinting to escape the crowd."
bow,0,0,The archer drew the bow and released the arrow toward the target.
bow,0,1,"She practiced with her bow at the range, sending arrows at the target."
bow,0,2,The bow was a finely crafted weapon used by the archer for decades.
bow,0,3,He pulled the arrow back on the bow and aimed at the range target.
bow,0,4,The bow's string snapped after the archer fired too many arrows.
bow,0,5,She hit the target dead center with her bow from across the range.
bow,0,6,The bow was the archer's preferred weapon on the competition range.
bow,0,7,He nocked an arrow on the bow and lined up the target at the range.
bow,0,8,The archer adjusted the bow before releasing the arrow at the target.
bow,0,9,The weapon was a recurve bow favored by competitive archers.
bow,0,10,"She tested the bow at the range, firing arrows at multiple targets."
bow,0,11,The archer's bow was strung tightly for maximum arrow speed.
bow,0,12,"He scored well on the range, his bow sending each arrow into the target."
bow,0,13,The bow was too heavy for the young archer on the target range.
bow,0,14,She hung her bow on the rack at the range after hitting every target.
bow,0,15,The archer inspected the bow before selecting an arrow for the target.
bow,0,16,His bow was custom-built for long-range arrow shots at distant targets.
bow,0,17,The weapon was a traditional bow used by archers for centuries.
bow,0,18,She adjusted the bow sight and fired the arrow toward the range target.
bow,0,19,The archer's bow and arrows were laid out neatly on the weapon rack.
bow,0,20,"He drew the bow and released the arrow, hitting the outer ring of the target."
bow,0,21,The range master inspected each bow before the archers began shooting.
bow,0,22,She chose a lighter bow for the target competition at the indoor range.
bow,0,23,The arrow flew true from the bow and struck the center of the target.
bow,0,24,The archer maintained the bow as carefully as any weapon in the collection.
bow,1,0,She tied a bow with red ribbon on the holiday gift.
bow,1,1,The package was wrapped neatly with a large bow on top.
bow,1,2,He added a bow to the gift using leftover holiday ribbon.
bow,1,3,The holiday gift was complete once she attached the ribbon bow.
bow,1,4,A satin bow decorated the top of the wrapped package.
bow,1,5,She taught the children how to tie a bow on the holiday gift wrap.
bow,1,6,The ribbon bow on the package made the gift look elegant.
bow,1,7,He wrapped the holiday gift and finished it with a gold bow.
bow,1,8,The package arrived with a big bow and a holiday ribbon attached.
bow,1,9,She picked out a ribbon to make a bow for the gift she would wrap.
bow,1,10,The holiday gifts each had a different colored bow and ribbon.
bow,1,11,He pulled the ribbon tight and formed a perfect bow on the package.
bow,1,12,The gift was wrapped in shiny paper with a bow tied in ribbon.
bow,1,13,She placed a bow on every gift she wrapped for the holiday party.
bow,1,14,The package's ribbon bow was slightly crushed during shipping.
bow,1,15,He unwrapped the ribbon bow on the holiday gift carefully.
bow,1,16,The bow on the gift was made from a wide satin ribbon.
bow,1,17,The ribbon was curled into a bow that topped the beautifully wrapped gift.
bow,1,18,The holiday package had a bow so large it nearly hid the wrapping.
bow,1,19,He found a spare ribbon and added a bow to the last gift.
bow,1,20,The bow and ribbon combination made the holiday package look festive.
bow,1,21,She wrapped the gift in paper and tied a simple bow with ribbon.
bow,1,22,The holiday bow was the finishing touch on every wrapped package.
bow,1,23,He admired the bow on the package before unwrapping the holiday gift.
bow,1,24,He adjusted the bow on his tuxedo before the ceremony.
calf,0,0,The calf followed the herd across the field to the barn.
calf,0,1,She fed the calf in the barn before the rest of the farm chores.
calf,0,2,"A newborn calf wobbled in the field, staying close to the herd."
calf,0,3,The calf was kept in the barn until it was strong enough for the field.
calf,0,4,He carried feed to the barn where the calf and the herd waited.
calf,0,5,The farm had a new calf born to the prize cow in the herd.
calf,0,6,The calf ran through the field and rejoined the herd near the barn.
calf,0,7,She checked on the calf in the barn each morning before feeding the herd.
calf,0,8,The calf grazed in the field alongside the rest of the farm herd.
calf,0,9,He moved the calf from the barn to the field with the herd.
calf,0,10,The farm's youngest calf was hand-fed in the barn twice a day.
calf,0,11,A calf separated from the herd was found near the barn in the back field.
calf,0,12,She mixed the calf's feed in the barn while the herd grazed in the field.
calf,0,13,The calf was the smallest in the herd but thrived on the farm.
calf,0,14,He led the calf and the herd from the field into the barn for the night.
calf,0,15,The farm raised each calf alongside the herd in the open field.
calf,0,16,The calf needed extra feed to keep up with the herd on the farm.
calf,0,17,She found the calf sheltering in the barn after a storm swept the field.
calf,0,18,The calf joined the herd in the field once it was weaned from barn feed.
calf,0,19,The farm veterinarian examined the calf in the barn while the herd waited.
calf,0,20,He opened the barn door and the calf ran to the herd in the field.
calf,0,21,The calf's feed was measured carefully by the farm manager each day.
calf,0,22,A healthy calf was born on the farm and quickly joined the herd.
calf,0,23,"The calf lay in the barn, resting before returning to the field with the herd."
calf,0,24,She watched the calf play in the field as the herd grazed on the farm.
calf,1,0,He pulled his calf muscle during the run and felt immediate pain.
calf,1,1,The calf strain required weeks of recovery before he could jog again.
calf,1,2,She stretched her calf to ease the muscle pain after the workout.
calf,1,3,The pain in his calf was caused by a strained muscle in his leg.
calf,1,4,"Her calf muscle was tight, and the strain caused lingering pain."
calf,1,5,Recovery from the calf injury involved daily stretching and rest for the leg.
calf,1,6,The calf strain sent a sharp pain down his leg during the sprint.
calf,1,7,She iced her calf to reduce the muscle pain and speed recovery.
calf,1,8,The pain in her calf muscle worsened when she tried to use the leg.
calf,1,9,He rested his leg after the calf strain to ensure a full recovery.
calf,1,10,The calf muscle on his right leg was sore after the strain.
calf,1,11,"Recovery from the calf injury was slow, with pain lingering for weeks."
calf,1,12,She felt a pop in her calf and knew the muscle had strained.
calf,1,13,The pain in his calf eased after consistent recovery exercises.
calf,1,14,The strain in her calf made every step painful on that leg.
calf,1,15,He wrapped his calf with a bandage to support the strained muscle.
calf,1,16,The calf muscle in his leg ached with pain during recovery.
calf,1,17,She visited the clinic for the calf strain and began a recovery plan.
calf,1,18,The pain radiated from his calf up through the leg after the muscle strain.
calf,1,19,Recovery from a calf muscle strain takes patience and proper rest.
calf,1,20,He felt a sharp pain in his calf when the leg muscle cramped.
calf,1,21,The calf strain limited her leg movement and caused constant pain.
calf,1,22,She began physical therapy for the calf muscle during recovery.
calf,1,23,The pain in his calf lessened as the muscle strain healed.
calf,1,24,His leg buckled when the calf strain sent a jolt of pain through the muscle.
charge,0,0,The charge on the bill was higher than the expected amount.
charge,0,1,She disputed the charge because the receipt showed a different payment.
charge,0,2,"A service charge was added to the bill, increasing the total amount."
charge,0,3,He reviewed the charge on the receipt before making the payment.
charge,0,4,The charge for the fee was listed separately on the bill.
charge,0,5,She noticed an extra charge on the payment receipt for the wrong amount.
charge,0,6,The bill included a charge that wasn't authorized in the original payment.
charge,0,7,He called about the charge and was told the fee would be refunded.
charge,0,8,The charge appeared on her bill after the payment amount was processed.
charge,0,9,The receipt showed a charge for a fee she had already paid.
charge,0,10,He questioned the charge because the amount on the bill was incorrect.
charge,0,11,"The payment was made, but an additional charge appeared on the receipt."
charge,0,12,A late charge was applied to the bill because the payment was overdue.
charge,0,13,"The receipt confirmed the charge, showing the full payment amount."
charge,0,14,He paid the charge on the bill and kept the receipt for his records.
charge,0,15,An unauthorized charge on the payment statement raised the bill amount.
charge,0,16,She asked for a receipt after disputing the charge on her bill.
charge,0,17,The amount of the charge was deducted from his account as a fee.
charge,0,18,The bill reflected the charge after the payment was processed and a receipt issued.
charge,0,19,He was surprised by the charge amount when he opened the bill.
charge,0,20,The fee charge was listed on the receipt but not on the original bill.
charge,0,21,She made the payment to cover the charge and kept the receipt.
charge,0,22,The charge on the bill was split into two payments of equal amount.
charge,0,23,He verified the charge amount on the receipt before paying the bill.
charge,0,24,There was a sudden charge on my credit card statement.
charge,1,0,The charge against the defendant was presented during the trial.
charge,1,1,The judge reviewed the charge before allowing the trial to proceed.
charge,1,2,A new charge was added to the case based on additional evidence.
charge,1,3,"The claim was dismissed, but the original charge remained for trial."
charge,1,4,Evidence presented during the trial supported the charge in the case.
charge,1,5,The judge reduced the charge after reviewing the evidence at trial.
charge,1,6,"A serious charge was filed in the case, and the trial date was set."
charge,1,7,The evidence was insufficient to sustain the charge at trial.
charge,1,8,The judge instructed the jury on the charge before the trial concluded.
charge,1,9,A formal charge was brought in the case after the claim was verified.
charge,1,10,The trial began with the prosecution presenting the charge and key evidence.
charge,1,11,The judge dismissed the charge due to lack of evidence in the case.
